fpr,tpr,ppv,acc,npv,LR+,LR-,threshold
0.024,$0.498 \pm 0.059$,$0.188 \pm 0.032$,$0.970 \pm 0.000$,$0.994 \pm 0.000$,$23.51 \pm 5.245$,$0.513 \pm -0.06$,0.0744361747223227
0.025,$0.502 \pm 0.059$,$0.183 \pm 0.031$,$0.969 \pm 0.000$,$0.994 \pm 0.000$,$22.72 \pm 5.023$,$0.509 \pm -0.06$,0.07144471203591654
0.026,$0.507 \pm 0.059$,$0.178 \pm 0.030$,$0.969 \pm 0.000$,$0.994 \pm 0.000$,$21.93 \pm 4.755$,$0.505 \pm -0.06$,0.06845324934951039
0.027,$0.512 \pm 0.059$,$0.173 \pm 0.028$,$0.968 \pm 0.000$,$0.994 \pm 0.000$,$21.15 \pm 4.447$,$0.500 \pm -0.06$,0.06546178666310423
0.028,$0.517 \pm 0.059$,$0.168 \pm 0.026$,$0.967 \pm 0.000$,$0.995 \pm 0.000$,$20.36 \pm 4.103$,$0.496 \pm -0.06$,0.06247032397669807
0.029,$0.521 \pm 0.059$,$0.162 \pm 0.024$,$0.966 \pm 0.000$,$0.995 \pm 0.000$,$19.57 \pm 3.727$,$0.492 \pm -0.06$,0.059478861290291916
0.03,$0.526 \pm 0.059$,$0.157 \pm 0.022$,$0.965 \pm 0.000$,$0.995 \pm 0.000$,$18.79 \pm 3.323$,$0.487 \pm -0.06$,0.05648739860388576
0.031,$0.531 \pm 0.059$,$0.152 \pm 0.020$,$0.964 \pm 0.000$,$0.995 \pm 0.000$,$18.00 \pm 2.893$,$0.483 \pm -0.06$,0.05349593591747961
0.032,$0.536 \pm 0.059$,$0.147 \pm 0.017$,$0.963 \pm 0.000$,$0.995 \pm 0.000$,$17.21 \pm 2.440$,$0.479 \pm -0.06$,0.05050447323107345
0.033,$0.543 \pm 0.061$,$0.140 \pm 0.012$,$0.961 \pm 7.478$,$0.995 \pm 0.000$,$16.18 \pm 1.721$,$0.472 \pm -0.05$,0.04690107970924568
0.034,$0.546 \pm 0.058$,$0.138 \pm 0.013$,$0.960 \pm 0.000$,$0.995 \pm 0.000$,$15.94 \pm 1.732$,$0.470 \pm -0.05$,0.04628914887382407
0.035,$0.548 \pm 0.055$,$0.136 \pm 0.013$,$0.960 \pm 0.000$,$0.995 \pm 0.000$,$15.69 \pm 1.756$,$0.467 \pm -0.05$,0.04567721803840245
0.036,$0.551 \pm 0.055$,$0.134 \pm 0.013$,$0.959 \pm 0.000$,$0.995 \pm 0.000$,$15.45 \pm 1.831$,$0.465 \pm -0.05$,0.04506528720298084
0.037,$0.554 \pm 0.055$,$0.132 \pm 0.014$,$0.958 \pm 0.000$,$0.995 \pm 0.000$,$15.20 \pm 1.889$,$0.463 \pm -0.06$,0.044453356367559226
0.038,$0.556 \pm 0.055$,$0.130 \pm 0.014$,$0.957 \pm 0.000$,$0.995 \pm 0.000$,$14.96 \pm 1.930$,$0.460 \pm -0.06$,0.043841425532137615
0.039,$0.559 \pm 0.055$,$0.129 \pm 0.014$,$0.956 \pm 0.000$,$0.995 \pm 0.000$,$14.71 \pm 1.956$,$0.458 \pm -0.06$,0.043229494696716
0.04,$0.561 \pm 0.056$,$0.127 \pm 0.014$,$0.955 \pm 0.000$,$0.995 \pm 0.000$,$14.47 \pm 1.926$,$0.456 \pm -0.06$,0.04261756386129439
0.041,$0.564 \pm 0.057$,$0.125 \pm 0.013$,$0.954 \pm -0.00$,$0.995 \pm 0.000$,$14.22 \pm 1.765$,$0.454 \pm -0.06$,0.04200563302587277
0.042,$0.567 \pm 0.058$,$0.123 \pm 0.013$,$0.953 \pm -0.00$,$0.995 \pm 0.000$,$13.98 \pm 1.722$,$0.451 \pm -0.06$,0.04139370219045116
0.043,$0.569 \pm 0.058$,$0.121 \pm 0.013$,$0.952 \pm -0.00$,$0.995 \pm 0.000$,$13.73 \pm 1.709$,$0.449 \pm -0.06$,0.04078177135502954
0.044,$0.572 \pm 0.058$,$0.119 \pm 0.012$,$0.951 \pm -0.00$,$0.995 \pm 0.000$,$13.49 \pm 1.686$,$0.447 \pm -0.06$,0.04016984051960793
0.045,$0.575 \pm 0.058$,$0.117 \pm 0.012$,$0.950 \pm -5.76$,$0.995 \pm 0.000$,$13.24 \pm 1.652$,$0.444 \pm -0.06$,0.039557909684186314
0.046,$0.577 \pm 0.058$,$0.115 \pm 0.012$,$0.950 \pm 1.629$,$0.995 \pm 0.000$,$13.00 \pm 1.608$,$0.442 \pm -0.06$,0.038945978848764704
0.047,$0.580 \pm 0.058$,$0.113 \pm 0.012$,$0.949 \pm 8.995$,$0.995 \pm 0.000$,$12.75 \pm 1.556$,$0.440 \pm -0.06$,0.038334048013343086
0.048,$0.583 \pm 0.058$,$0.111 \pm 0.011$,$0.948 \pm 0.000$,$0.995 \pm 0.000$,$12.51 \pm 1.495$,$0.437 \pm -0.06$,0.03772211717792147
0.049,$0.585 \pm 0.057$,$0.109 \pm 0.011$,$0.947 \pm 0.000$,$0.995 \pm 0.000$,$12.26 \pm 1.426$,$0.435 \pm -0.06$,0.03711018634249986
0.05,$0.588 \pm 0.057$,$0.108 \pm 0.010$,$0.946 \pm 0.000$,$0.995 \pm 0.000$,$12.02 \pm 1.350$,$0.433 \pm -0.06$,0.03649825550707825
0.051,$0.590 \pm 0.057$,$0.106 \pm 0.010$,$0.945 \pm 0.000$,$0.995 \pm 0.000$,$11.77 \pm 1.267$,$0.430 \pm -0.06$,0.03588632467165663
0.052,$0.593 \pm 0.057$,$0.104 \pm 0.009$,$0.944 \pm 0.000$,$0.995 \pm 0.000$,$11.53 \pm 1.178$,$0.428 \pm -0.06$,0.03527439383623501
0.053,$0.597 \pm 0.059$,$0.101 \pm 0.008$,$0.942 \pm -0.00$,$0.995 \pm 0.000$,$11.17 \pm 0.976$,$0.424 \pm -0.05$,0.034378680213615675
0.054,$0.599 \pm 0.058$,$0.100 \pm 0.008$,$0.941 \pm -0.00$,$0.995 \pm 0.000$,$11.07 \pm 1.013$,$0.423 \pm -0.05$,0.03409489742641795
0.055,$0.601 \pm 0.056$,$0.099 \pm 0.008$,$0.940 \pm -0.00$,$0.995 \pm 0.000$,$10.96 \pm 1.029$,$0.422 \pm -0.05$,0.03381111463922023
0.056,$0.602 \pm 0.055$,$0.098 \pm 0.008$,$0.939 \pm -0.00$,$0.995 \pm 0.000$,$10.85 \pm 1.050$,$0.420 \pm -0.05$,0.0335273318520225
0.057,$0.604 \pm 0.055$,$0.097 \pm 0.008$,$0.938 \pm -0.00$,$0.995 \pm 0.000$,$10.75 \pm 1.089$,$0.419 \pm -0.05$,0.033243549064824775
0.058,$0.606 \pm 0.055$,$0.096 \pm 0.009$,$0.938 \pm -0.00$,$0.995 \pm 0.000$,$10.64 \pm 1.124$,$0.418 \pm -0.05$,0.03295976627762705
0.059,$0.607 \pm 0.055$,$0.096 \pm 0.009$,$0.937 \pm -0.00$,$0.995 \pm 0.000$,$10.53 \pm 1.153$,$0.416 \pm -0.05$,0.03267598349042932
0.06,$0.609 \pm 0.055$,$0.095 \pm 0.009$,$0.936 \pm -7.34$,$0.995 \pm 0.000$,$10.43 \pm 1.178$,$0.415 \pm -0.05$,0.032392200703231594
0.061,$0.611 \pm 0.054$,$0.094 \pm 0.009$,$0.935 \pm -1.98$,$0.995 \pm 0.000$,$10.32 \pm 1.199$,$0.413 \pm -0.05$,0.032108417916033874
0.062,$0.612 \pm 0.054$,$0.093 \pm 0.009$,$0.934 \pm 3.354$,$0.995 \pm 0.000$,$10.21 \pm 1.215$,$0.412 \pm -0.05$,0.03182463512883615
0.063,$0.614 \pm 0.054$,$0.092 \pm 0.010$,$0.933 \pm 8.674$,$0.995 \pm 0.000$,$10.11 \pm 1.227$,$0.411 \pm -0.05$,0.03154085234163842
0.064,$0.616 \pm 0.054$,$0.091 \pm 0.010$,$0.932 \pm 0.000$,$0.995 \pm 0.000$,$10.00 \pm 1.235$,$0.409 \pm -0.05$,0.03125706955444069
0.065,$0.617 \pm 0.054$,$0.090 \pm 0.010$,$0.931 \pm 0.000$,$0.995 \pm 0.000$,$9.900 \pm 1.240$,$0.408 \pm -0.05$,0.030973286767242966
0.066,$0.619 \pm 0.054$,$0.089 \pm 0.010$,$0.930 \pm 0.000$,$0.995 \pm 0.000$,$9.793 \pm 1.241$,$0.407 \pm -0.05$,0.030689503980045243
0.067,$0.621 \pm 0.054$,$0.088 \pm 0.010$,$0.929 \pm 0.000$,$0.995 \pm 0.000$,$9.687 \pm 1.239$,$0.405 \pm -0.05$,0.030405721192847516
0.068,$0.622 \pm 0.054$,$0.087 \pm 0.010$,$0.928 \pm 0.000$,$0.995 \pm 0.000$,$9.580 \pm 1.234$,$0.404 \pm -0.05$,0.030121938405649792
0.069,$0.624 \pm 0.054$,$0.087 \pm 0.010$,$0.927 \pm 0.000$,$0.995 \pm 0.000$,$9.474 \pm 1.226$,$0.402 \pm -0.05$,0.029838155618452065
0.07,$0.626 \pm 0.054$,$0.086 \pm 0.010$,$0.926 \pm 0.000$,$0.995 \pm 0.000$,$9.367 \pm 1.214$,$0.401 \pm -0.05$,0.02955437283125434
0.071,$0.627 \pm 0.054$,$0.085 \pm 0.009$,$0.925 \pm 0.000$,$0.995 \pm 0.000$,$9.261 \pm 1.201$,$0.400 \pm -0.05$,0.02927059004405661
0.072,$0.629 \pm 0.054$,$0.084 \pm 0.009$,$0.924 \pm 0.000$,$0.995 \pm 0.000$,$9.154 \pm 1.184$,$0.398 \pm -0.05$,0.028986807256858888
0.073,$0.631 \pm 0.054$,$0.083 \pm 0.009$,$0.923 \pm 0.000$,$0.996 \pm 0.000$,$9.048 \pm 1.165$,$0.397 \pm -0.05$,0.02870302446966116
0.074,$0.632 \pm 0.054$,$0.082 \pm 0.009$,$0.923 \pm 0.000$,$0.996 \pm 0.000$,$8.941 \pm 1.144$,$0.396 \pm -0.05$,0.028419241682463438
0.075,$0.634 \pm 0.054$,$0.081 \pm 0.009$,$0.922 \pm 0.000$,$0.996 \pm 0.000$,$8.835 \pm 1.120$,$0.394 \pm -0.05$,0.02813545889526571
0.076,$0.636 \pm 0.054$,$0.080 \pm 0.009$,$0.921 \pm 0.000$,$0.996 \pm 0.000$,$8.728 \pm 1.094$,$0.393 \pm -0.05$,0.027851676108067984
0.077,$0.637 \pm 0.054$,$0.079 \pm 0.008$,$0.920 \pm 0.000$,$0.996 \pm 0.000$,$8.622 \pm 1.065$,$0.391 \pm -0.05$,0.027567893320870257
0.078,$0.639 \pm 0.054$,$0.078 \pm 0.008$,$0.919 \pm 0.000$,$0.996 \pm 0.000$,$8.515 \pm 1.035$,$0.390 \pm -0.05$,0.027284110533672534
0.079,$0.641 \pm 0.054$,$0.078 \pm 0.008$,$0.918 \pm 0.000$,$0.996 \pm 0.000$,$8.409 \pm 1.003$,$0.389 \pm -0.05$,0.027000327746474807
0.08,$0.642 \pm 0.054$,$0.077 \pm 0.008$,$0.917 \pm 0.000$,$0.996 \pm 0.000$,$8.302 \pm 0.969$,$0.387 \pm -0.05$,0.026716544959277083
0.081,$0.644 \pm 0.054$,$0.076 \pm 0.007$,$0.916 \pm 0.001$,$0.996 \pm 0.000$,$8.196 \pm 0.933$,$0.386 \pm -0.05$,0.026432762172079356
0.082,$0.646 \pm 0.054$,$0.075 \pm 0.007$,$0.915 \pm 0.001$,$0.996 \pm 0.000$,$8.089 \pm 0.895$,$0.385 \pm -0.05$,0.02614897938488163
0.083,$0.647 \pm 0.053$,$0.074 \pm 0.007$,$0.914 \pm 0.001$,$0.996 \pm 0.000$,$7.983 \pm 0.856$,$0.383 \pm -0.05$,0.025865196597683902
0.084,$0.649 \pm 0.053$,$0.073 \pm 0.007$,$0.913 \pm 0.001$,$0.996 \pm 0.000$,$7.876 \pm 0.815$,$0.382 \pm -0.05$,0.02558141381048618
0.085,$0.651 \pm 0.053$,$0.072 \pm 0.006$,$0.912 \pm 0.001$,$0.996 \pm 0.000$,$7.769 \pm 0.772$,$0.380 \pm -0.05$,0.025297631023288455
0.086,$0.652 \pm 0.053$,$0.071 \pm 0.006$,$0.911 \pm 0.001$,$0.996 \pm 0.000$,$7.663 \pm 0.728$,$0.379 \pm -0.05$,0.02501384823609073
0.087,$0.655 \pm 0.055$,$0.070 \pm 0.005$,$0.909 \pm 0.000$,$0.996 \pm 0.000$,$7.500 \pm 0.626$,$0.377 \pm -0.05$,0.02457660455594374
0.088,$0.657 \pm 0.054$,$0.069 \pm 0.005$,$0.908 \pm 0.000$,$0.996 \pm 0.000$,$7.443 \pm 0.628$,$0.376 \pm -0.05$,0.02442314366299448
0.089,$0.658 \pm 0.053$,$0.069 \pm 0.005$,$0.908 \pm 0.000$,$0.996 \pm 0.000$,$7.386 \pm 0.622$,$0.374 \pm -0.05$,0.024269682770045223
0.09,$0.659 \pm 0.052$,$0.068 \pm 0.005$,$0.907 \pm 0.000$,$0.996 \pm 0.000$,$7.329 \pm 0.616$,$0.373 \pm -0.05$,0.024116221877095962
0.091,$0.661 \pm 0.052$,$0.068 \pm 0.005$,$0.906 \pm 0.000$,$0.996 \pm 0.000$,$7.273 \pm 0.618$,$0.372 \pm -0.05$,0.0239627609841467
0.092,$0.662 \pm 0.052$,$0.067 \pm 0.005$,$0.905 \pm 0.000$,$0.996 \pm 0.000$,$7.216 \pm 0.619$,$0.371 \pm -0.05$,0.02380930009119744
0.093,$0.664 \pm 0.052$,$0.067 \pm 0.005$,$0.904 \pm 0.000$,$0.996 \pm 0.000$,$7.159 \pm 0.619$,$0.370 \pm -0.05$,0.02365583919824818
0.094,$0.665 \pm 0.052$,$0.066 \pm 0.005$,$0.903 \pm 0.000$,$0.996 \pm 0.000$,$7.102 \pm 0.609$,$0.369 \pm -0.05$,0.023502378305298922
0.095,$0.666 \pm 0.053$,$0.066 \pm 0.005$,$0.902 \pm 0.000$,$0.996 \pm 0.000$,$7.046 \pm 0.570$,$0.368 \pm -0.05$,0.02334891741234966
0.096,$0.668 \pm 0.053$,$0.065 \pm 0.004$,$0.901 \pm 8.553$,$0.996 \pm 0.000$,$6.989 \pm 0.558$,$0.367 \pm -0.05$,0.0231954565194004
0.097,$0.669 \pm 0.053$,$0.065 \pm 0.004$,$0.900 \pm 0.000$,$0.996 \pm 0.000$,$6.932 \pm 0.555$,$0.365 \pm -0.05$,0.02304199562645114
0.098,$0.670 \pm 0.053$,$0.064 \pm 0.004$,$0.899 \pm 0.000$,$0.996 \pm 0.000$,$6.875 \pm 0.550$,$0.364 \pm -0.06$,0.02288853473350188
0.099,$0.672 \pm 0.053$,$0.064 \pm 0.004$,$0.898 \pm 0.000$,$0.996 \pm 0.000$,$6.818 \pm 0.544$,$0.363 \pm -0.06$,0.022735073840552622
0.1,$0.673 \pm 0.053$,$0.063 \pm 0.004$,$0.898 \pm 0.000$,$0.996 \pm 0.000$,$6.762 \pm 0.537$,$0.362 \pm -0.06$,0.02258161294760336
0.101,$0.676 \pm 0.055$,$0.063 \pm 0.004$,$0.896 \pm -0.00$,$0.996 \pm 0.000$,$6.669 \pm 0.492$,$0.360 \pm -0.05$,0.02231255698529113
0.102,$0.677 \pm 0.055$,$0.062 \pm 0.004$,$0.895 \pm -0.00$,$0.996 \pm 0.000$,$6.633 \pm 0.504$,$0.359 \pm -0.05$,0.02219696191592816
0.103,$0.679 \pm 0.055$,$0.062 \pm 0.004$,$0.894 \pm -0.00$,$0.996 \pm 0.000$,$6.596 \pm 0.515$,$0.357 \pm -0.05$,0.022081366846565188
0.104,$0.680 \pm 0.054$,$0.062 \pm 0.004$,$0.893 \pm -0.00$,$0.996 \pm 0.000$,$6.560 \pm 0.517$,$0.356 \pm -0.05$,0.021965771777202218
0.105,$0.681 \pm 0.053$,$0.061 \pm 0.004$,$0.892 \pm -0.00$,$0.996 \pm 0.000$,$6.524 \pm 0.519$,$0.355 \pm -0.05$,0.021850176707839248
0.106,$0.683 \pm 0.053$,$0.061 \pm 0.004$,$0.891 \pm -0.00$,$0.996 \pm 0.000$,$6.488 \pm 0.527$,$0.354 \pm -0.05$,0.021734581638476278
0.107,$0.684 \pm 0.053$,$0.061 \pm 0.004$,$0.890 \pm -0.00$,$0.996 \pm 0.000$,$6.452 \pm 0.534$,$0.352 \pm -0.05$,0.02161898656911331
0.108,$0.686 \pm 0.053$,$0.060 \pm 0.004$,$0.889 \pm -0.00$,$0.996 \pm 0.000$,$6.416 \pm 0.540$,$0.351 \pm -0.05$,0.02150339149975034
0.109,$0.687 \pm 0.053$,$0.060 \pm 0.004$,$0.888 \pm -0.00$,$0.996 \pm 0.000$,$6.379 \pm 0.545$,$0.350 \pm -0.05$,0.021387796430387365
0.11,$0.688 \pm 0.053$,$0.060 \pm 0.004$,$0.887 \pm -0.00$,$0.996 \pm 0.000$,$6.343 \pm 0.550$,$0.349 \pm -0.05$,0.021272201361024395
0.111,$0.690 \pm 0.053$,$0.059 \pm 0.004$,$0.886 \pm -0.00$,$0.996 \pm 0.000$,$6.307 \pm 0.554$,$0.348 \pm -0.05$,0.021156606291661426
0.112,$0.691 \pm 0.053$,$0.059 \pm 0.004$,$0.885 \pm -0.00$,$0.996 \pm 0.000$,$6.271 \pm 0.557$,$0.346 \pm -0.05$,0.021041011222298456
0.113,$0.693 \pm 0.053$,$0.059 \pm 0.004$,$0.884 \pm -0.00$,$0.996 \pm 0.000$,$6.235 \pm 0.559$,$0.345 \pm -0.05$,0.020925416152935486
0.114,$0.694 \pm 0.053$,$0.058 \pm 0.004$,$0.883 \pm -0.00$,$0.996 \pm 0.000$,$6.199 \pm 0.561$,$0.344 \pm -0.05$,0.020809821083572513
0.115,$0.695 \pm 0.052$,$0.058 \pm 0.005$,$0.882 \pm -9.95$,$0.996 \pm 0.000$,$6.162 \pm 0.562$,$0.343 \pm -0.05$,0.020694226014209543
0.116,$0.697 \pm 0.052$,$0.058 \pm 0.005$,$0.881 \pm -7.14$,$0.996 \pm 0.000$,$6.126 \pm 0.562$,$0.342 \pm -0.05$,0.020578630944846573
0.117,$0.698 \pm 0.052$,$0.057 \pm 0.005$,$0.880 \pm -4.34$,$0.996 \pm 0.000$,$6.090 \pm 0.561$,$0.340 \pm -0.05$,0.020463035875483603
0.118,$0.699 \pm 0.052$,$0.057 \pm 0.005$,$0.879 \pm -1.54$,$0.996 \pm 0.000$,$6.054 \pm 0.560$,$0.339 \pm -0.05$,0.020347440806120633
0.119,$0.701 \pm 0.052$,$0.057 \pm 0.004$,$0.878 \pm 1.243$,$0.996 \pm 0.000$,$6.018 \pm 0.559$,$0.338 \pm -0.05$,0.02023184573675766
0.12,$0.702 \pm 0.052$,$0.056 \pm 0.004$,$0.877 \pm 4.022$,$0.996 \pm 0.000$,$5.982 \pm 0.557$,$0.337 \pm -0.05$,0.02011625066739469
0.121,$0.704 \pm 0.052$,$0.056 \pm 0.004$,$0.876 \pm 6.793$,$0.996 \pm 0.000$,$5.946 \pm 0.554$,$0.336 \pm -0.05$,0.02000065559803172
0.122,$0.705 \pm 0.052$,$0.056 \pm 0.004$,$0.875 \pm 9.556$,$0.996 \pm 0.000$,$5.909 \pm 0.551$,$0.334 \pm -0.05$,0.01988506052866875
0.123,$0.706 \pm 0.052$,$0.055 \pm 0.004$,$0.875 \pm 0.000$,$0.996 \pm 0.000$,$5.873 \pm 0.547$,$0.333 \pm -0.05$,0.01976946545930578
0.124,$0.708 \pm 0.052$,$0.055 \pm 0.004$,$0.874 \pm 0.000$,$0.996 \pm 0.000$,$5.837 \pm 0.542$,$0.332 \pm -0.05$,0.01965387038994281
0.125,$0.709 \pm 0.052$,$0.055 \pm 0.004$,$0.873 \pm 0.000$,$0.996 \pm 0.000$,$5.801 \pm 0.538$,$0.331 \pm -0.05$,0.019538275320579838
0.126,$0.711 \pm 0.052$,$0.054 \pm 0.004$,$0.872 \pm 0.000$,$0.996 \pm 0.000$,$5.765 \pm 0.532$,$0.329 \pm -0.05$,0.019422680251216868
0.127,$0.712 \pm 0.052$,$0.054 \pm 0.004$,$0.871 \pm 0.000$,$0.996 \pm 0.000$,$5.729 \pm 0.526$,$0.328 \pm -0.05$,0.019307085181853898
0.128,$0.713 \pm 0.052$,$0.054 \pm 0.004$,$0.870 \pm 0.000$,$0.996 \pm 0.000$,$5.692 \pm 0.520$,$0.327 \pm -0.05$,0.01919149011249093
0.129,$0.715 \pm 0.052$,$0.054 \pm 0.004$,$0.869 \pm 0.000$,$0.996 \pm 0.000$,$5.656 \pm 0.513$,$0.326 \pm -0.05$,0.01907589504312796
0.13,$0.716 \pm 0.051$,$0.053 \pm 0.004$,$0.868 \pm 0.000$,$0.996 \pm 0.000$,$5.620 \pm 0.506$,$0.325 \pm -0.05$,0.018960299973764985
0.131,$0.718 \pm 0.051$,$0.053 \pm 0.004$,$0.867 \pm 0.000$,$0.996 \pm 0.000$,$5.584 \pm 0.498$,$0.323 \pm -0.05$,0.018844704904402015
0.132,$0.719 \pm 0.051$,$0.053 \pm 0.004$,$0.866 \pm 0.000$,$0.996 \pm 0.000$,$5.548 \pm 0.489$,$0.322 \pm -0.05$,0.018729109835039046
0.133,$0.720 \pm 0.051$,$0.052 \pm 0.004$,$0.865 \pm 0.000$,$0.996 \pm 0.000$,$5.512 \pm 0.481$,$0.321 \pm -0.05$,0.018613514765676076
0.134,$0.722 \pm 0.051$,$0.052 \pm 0.004$,$0.864 \pm 0.000$,$0.996 \pm 0.000$,$5.475 \pm 0.472$,$0.320 \pm -0.05$,0.018497919696313106
0.135,$0.723 \pm 0.051$,$0.052 \pm 0.004$,$0.863 \pm 0.000$,$0.996 \pm 0.000$,$5.439 \pm 0.462$,$0.319 \pm -0.05$,0.018382324626950136
0.136,$0.725 \pm 0.051$,$0.051 \pm 0.004$,$0.862 \pm 0.000$,$0.996 \pm 0.000$,$5.403 \pm 0.452$,$0.317 \pm -0.05$,0.018266729557587166
0.137,$0.726 \pm 0.051$,$0.051 \pm 0.004$,$0.861 \pm 0.000$,$0.996 \pm 0.000$,$5.367 \pm 0.442$,$0.316 \pm -0.05$,0.018151134488224193
0.138,$0.727 \pm 0.051$,$0.051 \pm 0.003$,$0.860 \pm 0.000$,$0.996 \pm 0.000$,$5.331 \pm 0.431$,$0.315 \pm -0.05$,0.018035539418861223
0.139,$0.729 \pm 0.051$,$0.050 \pm 0.003$,$0.859 \pm 0.000$,$0.996 \pm 0.000$,$5.295 \pm 0.420$,$0.314 \pm -0.05$,0.017919944349498253
0.14,$0.730 \pm 0.051$,$0.050 \pm 0.003$,$0.858 \pm 0.000$,$0.996 \pm 0.000$,$5.258 \pm 0.409$,$0.313 \pm -0.05$,0.017804349280135284
0.141,$0.731 \pm 0.051$,$0.050 \pm 0.003$,$0.857 \pm 0.000$,$0.996 \pm 0.000$,$5.222 \pm 0.397$,$0.311 \pm -0.05$,0.01768875421077231
0.142,$0.733 \pm 0.051$,$0.049 \pm 0.003$,$0.856 \pm 0.000$,$0.996 \pm 0.000$,$5.186 \pm 0.385$,$0.310 \pm -0.05$,0.01757315914140934
