fpr,tpr,ppv,acc,npv,LR+,LR-,threshold
0.0,$0.0 \pm 0.0$,$1.0 \pm 0.850$,$0.99 \pm 0.0$,$0.99 \pm 0.0$,$59.73 \pm 27.07$,$1.0 \pm 0.0$,1.470512797747833
0.001,$0.080 \pm 0.054$,$0.361 \pm 0.145$,$0.989 \pm -0.00$,$0.990 \pm 0.000$,$56.15 \pm 20.29$,$0.921 \pm -0.06$,0.38097415940144924
0.002,$0.139 \pm 0.061$,$0.345 \pm 0.054$,$0.988 \pm -0.00$,$0.991 \pm 0.000$,$52.20 \pm 11.65$,$0.862 \pm -0.05$,0.3494747249234069
0.003,$0.175 \pm 0.055$,$0.340 \pm 0.052$,$0.988 \pm 5.003$,$0.991 \pm 0.000$,$51.17 \pm 11.08$,$0.826 \pm -0.05$,0.33262423181029505
0.004,$0.211 \pm 0.059$,$0.336 \pm 0.062$,$0.987 \pm 0.000$,$0.992 \pm 0.000$,$50.14 \pm 12.87$,$0.791 \pm -0.06$,0.31577373869718317
0.005,$0.248 \pm 0.061$,$0.331 \pm 0.065$,$0.987 \pm 0.000$,$0.992 \pm 0.000$,$49.11 \pm 13.20$,$0.755 \pm -0.07$,0.29892324558407135
0.006,$0.301 \pm 0.073$,$0.321 \pm 0.052$,$0.986 \pm 0.000$,$0.992 \pm 0.000$,$46.93 \pm 10.55$,$0.702 \pm -0.06$,0.27069267945820363
0.007,$0.338 \pm 0.066$,$0.311 \pm 0.039$,$0.985 \pm 0.000$,$0.993 \pm 0.000$,$44.89 \pm 7.833$,$0.666 \pm -0.06$,0.24677932269642533
0.008,$0.358 \pm 0.059$,$0.307 \pm 0.042$,$0.985 \pm 0.000$,$0.993 \pm 0.000$,$43.99 \pm 8.339$,$0.647 \pm -0.06$,0.23418618308602288
0.009,$0.393 \pm 0.067$,$0.297 \pm 0.039$,$0.984 \pm 0.000$,$0.993 \pm 0.000$,$41.87 \pm 7.465$,$0.612 \pm -0.07$,0.20576095090170288
0.01,$0.408 \pm 0.061$,$0.290 \pm 0.037$,$0.984 \pm 0.000$,$0.994 \pm 0.000$,$40.64 \pm 6.987$,$0.597 \pm -0.07$,0.18993356949581003
0.011,$0.429 \pm 0.076$,$0.276 \pm 0.026$,$0.983 \pm 7.893$,$0.994 \pm 0.000$,$37.80 \pm 4.781$,$0.577 \pm -0.06$,0.15273285421174104
0.012,$0.437 \pm 0.069$,$0.262 \pm 0.018$,$0.982 \pm -0.00$,$0.994 \pm 0.000$,$35.18 \pm 3.356$,$0.569 \pm -0.06$,0.1266175985975235
0.013,$0.443 \pm 0.061$,$0.250 \pm 0.016$,$0.981 \pm -0.00$,$0.994 \pm 0.000$,$33.17 \pm 2.855$,$0.564 \pm -0.06$,0.11457422685817509
0.014,$0.450 \pm 0.062$,$0.240 \pm 0.016$,$0.979 \pm -0.00$,$0.994 \pm 0.000$,$31.38 \pm 2.894$,$0.557 \pm -0.06$,0.10435080158638424
0.015,$0.455 \pm 0.060$,$0.234 \pm 0.021$,$0.978 \pm -0.00$,$0.994 \pm 0.000$,$30.59 \pm 3.685$,$0.553 \pm -0.06$,0.10135933889997809
0.016,$0.460 \pm 0.058$,$0.229 \pm 0.024$,$0.978 \pm -0.00$,$0.994 \pm 0.000$,$29.80 \pm 4.292$,$0.548 \pm -0.06$,0.09836787621357193
0.017,$0.465 \pm 0.058$,$0.224 \pm 0.028$,$0.977 \pm -0.00$,$0.994 \pm 0.000$,$29.02 \pm 4.811$,$0.544 \pm -0.06$,0.09537641352716578
0.018,$0.469 \pm 0.058$,$0.219 \pm 0.030$,$0.976 \pm -0.00$,$0.994 \pm 0.000$,$28.23 \pm 5.175$,$0.539 \pm -0.06$,0.09238495084075962
0.019,$0.474 \pm 0.059$,$0.214 \pm 0.032$,$0.975 \pm -0.00$,$0.994 \pm 0.000$,$27.44 \pm 5.410$,$0.535 \pm -0.06$,0.08939348815435347
0.02,$0.479 \pm 0.059$,$0.209 \pm 0.033$,$0.974 \pm -3.45$,$0.994 \pm 0.000$,$26.66 \pm 5.537$,$0.531 \pm -0.06$,0.08640202546794731
0.021,$0.483 \pm 0.059$,$0.204 \pm 0.033$,$0.973 \pm 4.900$,$0.994 \pm 0.000$,$25.87 \pm 5.572$,$0.526 \pm -0.06$,0.08341056278154116
0.022,$0.488 \pm 0.059$,$0.198 \pm 0.033$,$0.972 \pm 0.000$,$0.994 \pm 0.000$,$25.08 \pm 5.528$,$0.522 \pm -0.06$,0.080419100095135
0.023,$0.493 \pm 0.059$,$0.193 \pm 0.033$,$0.971 \pm 0.000$,$0.994 \pm 0.000$,$24.30 \pm 5.416$,$0.518 \pm -0.06$,0.07742763740872885
