bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
0,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
17,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
16,500,2,0.0005418096442116671,0.004,0.0010976305226827934,0.014465715215177033,0.000541809644211667,0.000541809644211667
15,500,1,0.0005418096442116671,0.002,0.00035313639455927456,0.011240706705146758,0.000541809644211667,0.000541809644211667
14,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
13,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
12,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
10,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
9,500,1,0.0005418096442116671,0.002,0.00035313639455927456,0.011240706705146758,0.000541809644211667,0.000541809644211667
11,500,1,0.0005418096442116671,0.002,0.00035313639455927456,0.011240706705146758,0.000541809644211667,0.000541809644211667
7,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
6,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
5,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
4,500,1,0.0005418096442116671,0.002,0.00035313639455927456,0.011240706705146758,0.000541809644211667,0.000541809644211667
3,500,1,0.0005418096442116671,0.002,0.00035313639455927456,0.011240706705146758,0.000541809644211667,0.000541809644211667
2,500,0,0.0005418096442116671,0.0,0.0,0.007624340461552241,0.000541809644211667,0.000541809644211667
1,500,1,0.0005418096442116671,0.002,0.00035313639455927456,0.011240706705146758,0.000541809644211667,0.000541809644211667
8,500,1,0.0005418096442116671,0.002,0.00035313639455927456,0.011240706705146758,0.000541809644211667,0.000541809644211667
18,500,0,0.000610494681374865,0.0,0.0,0.007624340461552241,0.000541809644211667,0.0007358351729212656
19,500,0,0.0007358351729212655,0.0,0.0,0.007624340461552241,0.0007358351729212656,0.0007358351729212656
20,500,0,0.0008413537995634364,0.0,0.0,0.007624340461552241,0.0007358351729212656,0.0009319664492078285
25,500,0,0.0009319664492078284,0.0,0.0,0.007624340461552241,0.0009319664492078285,0.0009319664492078285
24,500,0,0.0009319664492078284,0.0,0.0,0.007624340461552241,0.0009319664492078285,0.0009319664492078285
22,500,1,0.0009319664492078284,0.002,0.00035313639455927456,0.011240706705146758,0.0009319664492078285,0.0009319664492078285
21,500,1,0.0009319664492078284,0.002,0.00035313639455927456,0.011240706705146758,0.0009319664492078285,0.0009319664492078285
23,500,1,0.0009319664492078284,0.002,0.00035313639455927456,0.011240706705146758,0.0009319664492078285,0.0009319664492078285
26,500,0,0.0016726269963870345,0.0,0.0,0.007624340461552241,0.0009319664492078285,0.0018264840182648401
27,500,0,0.0018823145172195007,0.0,0.0,0.007624340461552241,0.0018264840182648401,0.0019741837509491267
34,500,1,0.0019741837509491267,0.002,0.00035313639455927456,0.011240706705146758,0.0019741837509491267,0.0019741837509491267
35,500,1,0.0019741837509491267,0.002,0.00035313639455927456,0.011240706705146758,0.0019741837509491267,0.0019741837509491267
32,500,1,0.0019741837509491267,0.002,0.00035313639455927456,0.011240706705146758,0.0019741837509491267,0.0019741837509491267
33,500,1,0.0019741837509491267,0.002,0.00035313639455927456,0.011240706705146758,0.0019741837509491267,0.0019741837509491267
30,500,0,0.0019741837509491267,0.0,0.0,0.007624340461552241,0.0019741837509491267,0.0019741837509491267
29,500,1,0.0019741837509491267,0.002,0.00035313639455927456,0.011240706705146758,0.0019741837509491267,0.0019741837509491267
28,500,0,0.0019741837509491267,0.0,0.0,0.007624340461552241,0.0019741837509491267,0.0019741837509491267
31,500,0,0.0019741837509491267,0.0,0.0,0.007624340461552241,0.0019741837509491267,0.0019741837509491267
36,500,0,0.002155581513308693,0.0,0.0,0.007624340461552241,0.0019741837509491267,0.0023772898895259406
37,500,0,0.002377289889525941,0.0,0.0,0.007624340461552241,0.0023772898895259406,0.0023772898895259406
38,500,0,0.002377289889525941,0.0,0.0,0.007624340461552241,0.0023772898895259406,0.0023772898895259406
39,500,2,0.002377289889525941,0.004,0.0010976305226827934,0.014465715215177033,0.0023772898895259406,0.0023772898895259406
40,500,0,0.002377289889525941,0.0,0.0,0.007624340461552241,0.0023772898895259406,0.0023772898895259406
41,500,0,0.0026456598400942553,0.0,0.0,0.007624340461552241,0.0023772898895259406,0.002775464890369137
48,500,1,0.0027754648903691374,0.002,0.00035313639455927456,0.011240706705146758,0.002775464890369137,0.002775464890369137
47,500,0,0.0027754648903691374,0.0,0.0,0.007624340461552241,0.002775464890369137,0.002775464890369137
50,500,2,0.0027754648903691374,0.004,0.0010976305226827934,0.014465715215177033,0.002775464890369137,0.002775464890369137
46,500,2,0.0027754648903691374,0.004,0.0010976305226827934,0.014465715215177033,0.002775464890369137,0.002775464890369137
49,500,1,0.0027754648903691374,0.002,0.00035313639455927456,0.011240706705146758,0.002775464890369137,0.002775464890369137
44,500,2,0.0027754648903691374,0.004,0.0010976305226827934,0.014465715215177033,0.002775464890369137,0.002775464890369137
42,500,3,0.0027754648903691374,0.006,0.0020425962719602363,0.01749025210405338,0.002775464890369137,0.002775464890369137
45,500,1,0.0027754648903691374,0.002,0.00035313639455927456,0.011240706705146758,0.002775464890369137,0.002775464890369137
43,500,0,0.0027754648903691374,0.0,0.0,0.007624340461552241,0.002775464890369137,0.002775464890369137
51,500,2,0.0029559753238604116,0.004,0.0010976305226827934,0.014465715215177033,0.002775464890369137,0.00299190425906371
52,500,0,0.0029919042590637102,0.0,0.0,0.007624340461552241,0.00299190425906371,0.00299190425906371
53,500,1,0.0029919042590637102,0.002,0.00035313639455927456,0.011240706705146758,0.00299190425906371,0.00299190425906371
54,500,2,0.003098875356695434,0.004,0.0010976305226827934,0.014465715215177033,0.00299190425906371,0.004638916750250752
58,500,1,0.004638916750250752,0.002,0.00035313639455927456,0.011240706705146758,0.004638916750250752,0.004638916750250752
57,500,3,0.004638916750250752,0.006,0.0020425962719602363,0.01749025210405338,0.004638916750250752,0.004638916750250752
59,500,0,0.004638916750250752,0.0,0.0,0.007624340461552241,0.004638916750250752,0.004638916750250752
55,500,3,0.004638916750250752,0.006,0.0020425962719602363,0.01749025210405338,0.004638916750250752,0.004638916750250752
56,500,0,0.004638916750250752,0.0,0.0,0.007624340461552241,0.004638916750250752,0.004638916750250752
60,500,3,0.004680461667280985,0.006,0.0020425962719602363,0.01749025210405338,0.004638916750250752,0.004704652378463147
62,500,4,0.004704652378463148,0.008,0.00311531518006224,0.020387035834105168,0.004704652378463147,0.004704652378463147
63,500,2,0.004704652378463148,0.004,0.0010976305226827934,0.014465715215177033,0.004704652378463147,0.004704652378463147
61,500,5,0.004704652378463148,0.01,0.004278753896590496,0.023193099755730702,0.004704652378463147,0.004704652378463147
64,500,4,0.005747314977897039,0.008,0.00311531518006224,0.020387035834105168,0.004704652378463147,0.005845421086815328
65,500,3,0.0058454210868153274,0.006,0.0020425962719602363,0.01749025210405338,0.005845421086815328,0.005845421086815328
66,500,1,0.0058454210868153274,0.002,0.00035313639455927456,0.011240706705146758,0.005845421086815328,0.005845421086815328
67,500,2,0.006678758312133578,0.004,0.0010976305226827934,0.014465715215177033,0.005845421086815328,0.006795016987542469
68,500,3,0.006795016987542467,0.006,0.0020425962719602363,0.01749025210405338,0.006795016987542469,0.006795016987542469
69,500,1,0.006795016987542467,0.002,0.00035313639455927456,0.011240706705146758,0.006795016987542469,0.006795016987542469
70,500,3,0.007324465594204257,0.006,0.0020425962719602363,0.01749025210405338,0.006795016987542469,0.007941009642654566
71,500,4,0.008247892709787884,0.008,0.00311531518006224,0.020387035834105168,0.007941009642654566,0.008712121212121213
74,500,4,0.008712121212121211,0.008,0.00311531518006224,0.020387035834105168,0.008712121212121213,0.008712121212121213
73,500,6,0.008712121212121211,0.012,0.005510995174027703,0.025930361116447292,0.008712121212121213,0.008712121212121213
72,500,3,0.008712121212121211,0.006,0.0020425962719602363,0.01749025210405338,0.008712121212121213,0.008712121212121213
75,500,6,0.011995546205987816,0.012,0.005510995174027703,0.025930361116447292,0.008712121212121213,0.012911555842479019
76,500,8,0.013348037592058831,0.016,0.008129253033388314,0.03125110853339426,0.012911555842479019,0.014588859416445624
77,500,9,0.014626542009308253,0.018,0.009498193296197078,0.033851670908739286,0.014588859416445624,0.014738393515106854
78,500,9,0.015706868469285568,0.018,0.009498193296197078,0.033851670908739286,0.014738393515106854,0.01752136752136752
79,500,14,0.017521367521367515,0.028,0.01675097472075645,0.04644640267494888,0.01752136752136752,0.01752136752136752
80,500,5,0.018462778741726103,0.01,0.004278753896590496,0.023193099755730702,0.01752136752136752,0.018796992481203006
81,500,10,0.018930622009569378,0.02,0.010899183596210813,0.036420183246879345,0.018796992481203006,0.022727272727272728
82,500,15,0.02494579308067046,0.03,0.018263213197913384,0.04890366683594573,0.022727272727272728,0.024977293369663943
83,500,12,0.026021441847187007,0.024,0.013781314655496986,0.041477057463900756,0.024977293369663943,0.027285129604365622
84,500,19,0.03288820953159449,0.038,0.024460118055830385,0.05858477253064388,0.027285129604365622,0.03969359331476323
85,500,25,0.04089040647331538,0.05,0.034093745243849435,0.0727681611715476,0.03969359331476323,0.04477611940298507
87,500,18,0.04477611940298508,0.036,0.02289106098029272,0.056184326968027755,0.04477611940298507,0.04477611940298507
86,500,24,0.04477611940298508,0.048,0.03246520694135317,0.07042719683589006,0.04477611940298507,0.04477611940298507
88,500,24,0.04638222318319522,0.048,0.03246520694135317,0.07042719683589006,0.04477611940298507,0.046675191815856776
89,500,35,0.05732292143488751,0.07,0.0507597429450181,0.09579718985191686,0.046675191815856776,0.06997558991049634
90,500,35,0.07324354759967454,0.07,0.0507597429450181,0.09579718985191686,0.06997558991049634,0.08000000000000002
91,500,42,0.08473855286802434,0.084,0.06274413680383038,0.1115993144601811,0.08000000000000002,0.087893864013267
92,500,62,0.10343278916277793,0.124,0.09794609113930344,0.15578741288778383,0.087893864013267,0.12068965517241381
93,500,62,0.12286641767337843,0.124,0.09794609113930344,0.15578741288778383,0.12068965517241381,0.125
94,500,77,0.14887522741050577,0.154,0.1250106802783401,0.18826536332105404,0.125,0.15728476821192053
95,500,90,0.1991009274052265,0.18,0.148804907912759,0.21607466998263444,0.15728476821192053,0.20881971465629054
96,500,118,0.25506880943864274,0.236,0.20088129547155886,0.27514435629214073,0.20881971465629054,0.27697441601779754
97,500,179,0.32052734053286985,0.358,0.317207603401289,0.40095770928979185,0.27697441601779754,0.3563892145369285
98,500,207,0.43512245490292767,0.414,0.37164260890980144,0.45766877764958563,0.3563892145369285,0.5372549019607842
99,500,343,0.6830979463878855,0.686,0.6440316011844003,0.7251321441639025,0.5372549019607842,1.0
