,delta_auc,required_samples
9,0.1,115.09588106366652
8,0.09000000000000001,141.5802712664364
7,0.08,178.60218772796318
6,0.07,232.59760796811773
5,0.06000000000000001,315.78621061995653
4,0.05000000000000001,453.74670557962196
3,0.04000000000000001,707.7144674130793
2,0.030000000000000006,1256.404695338508
1,0.020000000000000004,2824.084310436971
0,0.01,11289.543366470425
