,tpr,fpr
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
1,0.023809523809523808,0.0
1,0.023809523809523808,0.0
1,0.023809523809523808,0.0
1,0.023809523809523808,0.0
2,0.023809523809523808,0.023809523809523808
1,0.023809523809523808,0.0
1,0.023809523809523808,0.0
2,0.023809523809523808,0.023809523809523808
2,0.023809523809523808,0.023809523809523808
2,0.023809523809523808,0.023809523809523808
1,0.023809523809523808,0.0
2,0.023809523809523808,0.023809523809523808
1,0.023809523809523808,0.0
1,0.023809523809523808,0.0
1,0.023809523809523808,0.0
2,0.047619047619047616,0.0
3,0.047619047619047616,0.023809523809523808
2,0.09523809523809523,0.0
3,0.09523809523809523,0.047619047619047616
4,0.11904761904761904,0.047619047619047616
3,0.11904761904761904,0.023809523809523808
4,0.11904761904761904,0.047619047619047616
4,0.11904761904761904,0.047619047619047616
3,0.11904761904761904,0.023809523809523808
4,0.11904761904761904,0.047619047619047616
3,0.11904761904761904,0.023809523809523808
4,0.11904761904761904,0.047619047619047616
3,0.11904761904761904,0.023809523809523808
3,0.11904761904761904,0.023809523809523808
5,0.14285714285714285,0.047619047619047616
6,0.14285714285714285,0.07142857142857142
6,0.14285714285714285,0.07142857142857142
5,0.14285714285714285,0.047619047619047616
6,0.14285714285714285,0.07142857142857142
5,0.14285714285714285,0.047619047619047616
6,0.14285714285714285,0.07142857142857142
5,0.14285714285714285,0.047619047619047616
5,0.14285714285714285,0.047619047619047616
6,0.14285714285714285,0.07142857142857142
3,0.16666666666666666,0.07142857142857142
2,0.16666666666666666,0.0
3,0.16666666666666666,0.047619047619047616
2,0.16666666666666666,0.0
2,0.16666666666666666,0.0
3,0.16666666666666666,0.047619047619047616
8,0.19047619047619047,0.09523809523809523
7,0.19047619047619047,0.07142857142857142
7,0.19047619047619047,0.07142857142857142
8,0.19047619047619047,0.09523809523809523
5,0.19047619047619047,0.07142857142857142
7,0.19047619047619047,0.07142857142857142
8,0.19047619047619047,0.09523809523809523
8,0.19047619047619047,0.09523809523809523
8,0.19047619047619047,0.09523809523809523
7,0.19047619047619047,0.07142857142857142
4,0.19047619047619047,0.047619047619047616
7,0.19047619047619047,0.07142857142857142
5,0.21428571428571427,0.047619047619047616
4,0.21428571428571427,0.023809523809523808
5,0.23809523809523808,0.07142857142857142
4,0.23809523809523808,0.047619047619047616
7,0.2619047619047619,0.07142857142857142
6,0.2619047619047619,0.047619047619047616
4,0.2857142857142857,0.047619047619047616
5,0.2857142857142857,0.07142857142857142
9,0.30952380952380953,0.09523809523809523
7,0.30952380952380953,0.09523809523809523
6,0.30952380952380953,0.07142857142857142
8,0.30952380952380953,0.07142857142857142
7,0.35714285714285715,0.09523809523809523
6,0.35714285714285715,0.07142857142857142
9,0.38095238095238093,0.11904761904761904
8,0.38095238095238093,0.09523809523809523
10,0.40476190476190477,0.14285714285714285
10,0.40476190476190477,0.14285714285714285
9,0.40476190476190477,0.09523809523809523
9,0.40476190476190477,0.09523809523809523
10,0.40476190476190477,0.14285714285714285
9,0.40476190476190477,0.09523809523809523
10,0.40476190476190477,0.09523809523809523
10,0.40476190476190477,0.14285714285714285
11,0.40476190476190477,0.14285714285714285
9,0.40476190476190477,0.09523809523809523
10,0.40476190476190477,0.14285714285714285
9,0.40476190476190477,0.09523809523809523
11,0.42857142857142855,0.14285714285714285
12,0.42857142857142855,0.16666666666666666
11,0.42857142857142855,0.14285714285714285
12,0.42857142857142855,0.16666666666666666
11,0.42857142857142855,0.14285714285714285
12,0.42857142857142855,0.16666666666666666
11,0.42857142857142855,0.14285714285714285
13,0.42857142857142855,0.16666666666666666
12,0.42857142857142855,0.14285714285714285
11,0.42857142857142855,0.14285714285714285
12,0.42857142857142855,0.16666666666666666
12,0.42857142857142855,0.16666666666666666
11,0.42857142857142855,0.14285714285714285
10,0.42857142857142855,0.11904761904761904
13,0.4523809523809524,0.16666666666666666
14,0.4523809523809524,0.19047619047619047
13,0.4523809523809524,0.16666666666666666
14,0.4523809523809524,0.19047619047619047
14,0.4523809523809524,0.19047619047619047
14,0.4523809523809524,0.19047619047619047
13,0.4523809523809524,0.16666666666666666
15,0.4523809523809524,0.19047619047619047
14,0.4523809523809524,0.16666666666666666
14,0.4523809523809524,0.19047619047619047
13,0.4523809523809524,0.16666666666666666
13,0.4523809523809524,0.16666666666666666
4,0.47619047619047616,0.07142857142857142
5,0.47619047619047616,0.11904761904761904
6,0.5,0.07142857142857142
17,0.5,0.21428571428571427
16,0.5,0.19047619047619047
7,0.5,0.09523809523809523
12,0.5,0.14285714285714285
13,0.5,0.19047619047619047
9,0.5238095238095238,0.11904761904761904
8,0.5238095238095238,0.09523809523809523
10,0.5476190476190477,0.11904761904761904
9,0.5476190476190477,0.14285714285714285
14,0.5476190476190477,0.19047619047619047
11,0.5476190476190477,0.16666666666666666
8,0.5476190476190477,0.09523809523809523
15,0.5476190476190477,0.21428571428571427
19,0.5714285714285714,0.23809523809523808
16,0.5714285714285714,0.21428571428571427
7,0.5714285714285714,0.16666666666666666
6,0.5714285714285714,0.11904761904761904
18,0.5714285714285714,0.21428571428571427
15,0.5714285714285714,0.19047619047619047
16,0.5714285714285714,0.21428571428571427
15,0.5714285714285714,0.19047619047619047
15,0.5714285714285714,0.19047619047619047
16,0.5714285714285714,0.21428571428571427
16,0.5714285714285714,0.21428571428571427
15,0.5714285714285714,0.19047619047619047
16,0.5714285714285714,0.21428571428571427
15,0.5714285714285714,0.19047619047619047
18,0.5952380952380952,0.23809523809523808
18,0.5952380952380952,0.23809523809523808
